My age is:,I've worked in design for:,I make:,My job is great because:,My skills include:,I am:,I work in:,I typically work:
31,1 - 4 years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side)|I have no problem acquiring new client work|I have a manageable workload,"3D / Animation software (Rhino, After Effects, Unity, etc.)|Art direction|Drawing / Painting|Photography",Extremely satisfied with my work situation,Communication / Graphic design,40 hours
35,10 - 14 years,"$50,000 to $74,999",There's room to grow in my role|My role is valued|I respect the people I work with|I'm solving worthwhile problems,Art direction|Copywriting|Drawing / Painting|Mentoring|Research,"Happy, but there's room for improvement",Communication / Graphic design|Education|Illustration|Social impact design,41 - 50 hours
28,5 - 9 years,"$75,000 to $99,999",I have the opportunity to learn new skills|There's room to grow in my role|I respect the people I work with|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side),Art direction|Data visualization,"Happy, but there's room for improvement",Communication / Graphic design,40 hours
35,10 - 14 years,"$35,000 to $49,999",I have a manageable workload,Photography|SEO / Social Media,"Not really satisfied, but I deal",Communication / Graphic design|Packaging design,41 - 50 hours
22,Less than 1 year,"$35,000 to $49,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work,AI / Algorithm design|AR / VR design|Coding|Data visualization|Research,"Happy, but there's room for improvement",AI / Algorithm design|AR / VR design|Communication / Graphic design|Interaction design,41 - 50 hours
28,10 - 14 years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side),Art direction|Public speaking,Extremely satisfied with my work situation,Communication / Graphic design|Illustration,41 - 50 hours
22,1 - 4 years,"$35,000 to $49,999",There's room to grow in my role|My role is valued|I respect the people I work with,Art direction|Film / Video|SEO / Social Media|UI design|UX design,"Happy, but there's room for improvement",Communication / Graphic design|Interaction design|Packaging design|UI design|UX design,41 - 50 hours
34,5 - 9 years,"$150,000 to $199,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side)|I'm in the position to scale my business|I have no problem acquiring new client work,Art direction|Drawing / Painting|Leadership|Project management|Research,Extremely satisfied with my work situation,Communication / Graphic design|Environmental design|Illustration|Research|UI design,41 - 50 hours
59,20+ years,"$50,000 to $74,999",The standard of work is pretty high|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,Art direction|Coding|Photography|UI design|UX design,"Not really satisfied, but I deal",Communication / Graphic design|Motion graphics|Packaging design|UI design|UX design,40 hours
49,15 - 20 years,"$75,000 to $99,999",I have a lot of autonomy and  freedom to make decisions|I'm solving worthwhile problems,Art direction|Business development|Copywriting|Project management|UI design,"Not really satisfied, but I deal",Communication / Graphic design|Environmental design|Illustration|Packaging design|Strategy,51 - 60 hours
28,5 - 9 years,"$75,000 to $99,999",The standard of work is pretty high|I respect the people I work with|There's flexibility over where and when I work|Benefits are sufficient (and maybe some perks on the side),Coding|Drawing / Painting|Project management|Research|UI design,"Happy, but there's room for improvement",Animation|Communication / Graphic design|Experience design|Illustration|Motion graphics,41 - 50 hours
24,1 - 4 years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|My role is valued|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with|There's flexibility over where and when I work,Art direction|Coding|UI design,Extremely satisfied with my work situation,Communication / Graphic design|Packaging design|Service design|UI design,41 - 50 hours
31,1 - 4 years,"$50,000 to $74,999",My role is valued|I feel creatively satisfied|I'm solving worthwhile problems|I'm paid what I'm worth,Coding|Data visualization|Facilitation|UI design|UX design,"Happy, but there's room for improvement",Communication / Graphic design|Research|UI design|UX design,40 hours
24,1 - 4 years,"Less than $25,000",I have the opportunity to learn new skills,Data visualization|Drawing / Painting|Research|SEO / Social Media,Ready to call it quits,Communication / Graphic design,Less than 40 hours
24,Less than 1 year,"$75,000 to $99,999",I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,Art direction,"Happy, but there's room for improvement",Communication / Graphic design,40 hours
23,5 - 9 years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied|Benefits are sufficient (and maybe some perks on the side),"3D / Animation software (Rhino, After Effects, Unity, etc.)|Art direction|Photography","Happy, but there's room for improvement",Communication / Graphic design|Motion graphics|Strategy,61 + hours
19,5 - 9 years,"Less than $25,000",I have the opportunity to learn new skills|There's room to grow in my role|I'm solving worthwhile problems|I have a manageable workload,Coding|Leadership|Project management|UI design|UX design,"Happy, but there's room for improvement",Communication / Graphic design|Illustration|Packaging design|UI design|UX design,Less than 40 hours
22,1 - 4 years,"$25,000 to $34,999",There's flexibility over where and when I work|Benefits are sufficient (and maybe some perks on the side),Art direction|Photography|Project management|SEO / Social Media,Ready to call it quits,Communication / Graphic design|Environmental design|Service design|Social impact design,40 hours
33,5 - 9 years,"$35,000 to $49,999",I have the opportunity to learn new skills|I feel creatively satisfied|I'm solving worthwhile problems|There's flexibility over where and when I work,Art direction|Drawing / Painting,"Happy, but there's room for improvement",Communication / Graphic design|Illustration|Motion graphics|Packaging design|Social impact design,40 hours
23,1 - 4 years,"$75,000 to $99,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|The standard of work is pretty high|I respect the people I work with|There's flexibility over where and when I work|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side)|I have no problem acquiring new client work|I have a manageable workload,Research|UI design|UX design,"Happy, but there's room for improvement",Experience design|Research|Service design|UI design|UX design,Less than 40 hours
39,15 - 20 years,"$50,000 to $74,999",I have the opportunity to learn new skills|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work|Benefits are sufficient (and maybe some perks on the side),Art direction|Photography|Project management|UI design|UX design,"Happy, but there's room for improvement",Communication / Graphic design|Education|Illustration|UI design|UX design,40 hours
31,5 - 9 years,"$50,000 to $74,999",The standard of work is pretty high|I respect the people I work with|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,Art direction|Coding|Data visualization|Drawing / Painting|UI design,"Not really satisfied, but I deal",Communication / Graphic design,41 - 50 hours
72,20+ years,"$75,000 to $99,999",I have a lot of autonomy and  freedom to make decisions|My role is valued|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side),"3D / Animation software (Rhino, After Effects, Unity, etc.)|Film / Video|Leadership|Photography",Extremely satisfied with my work situation,Animation|Communication / Graphic design|Education,61 + hours
21,1 - 4 years,"Less than $25,000",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,"3D / Animation software (Rhino, After Effects, Unity, etc.)|Art direction|Drawing / Painting|Leadership|Project management","Happy, but there's room for improvement",Communication / Graphic design|Illustration,Less than 40 hours
29,5 - 9 years,"$100,000 to $149,999",There's room to grow in my role|I'm solving worthwhile problems|There's flexibility over where and when I work|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,Art direction|Coding|UI design|UX design,"Happy, but there's room for improvement",Communication / Graphic design|Experience design|Interaction design|UI design|UX design,41 - 50 hours
41,10 - 14 years,"$100,000 to $149,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|My role is valued|The standard of work is pretty high|I'm solving worthwhile problems|There's flexibility over where and when I work|I'm paid what I'm worth|I have a manageable workload,Business development|Facilitation|Project management|Public speaking|Research,"Happy, but there's room for improvement",Education|Experience design|Research|Strategy|UX design,40 hours
57,20+ years,"$75,000 to $99,999",I have the opportunity to learn new skills|I feel creatively satisfied|There's flexibility over where and when I work|Benefits are sufficient (and maybe some perks on the side)|I have no problem acquiring new client work,Art direction|Drawing / Painting|Leadership|Public speaking|Writing (published articles),"Happy, but there's room for improvement",Communication / Graphic design|Education|Illustration,41 - 50 hours
47,10 - 14 years,"Less than $25,000",I have the opportunity to learn new skills|I feel creatively satisfied,Art direction|Business development|Leadership|Project management|Research,"Happy, but there's room for improvement",Communication / Graphic design|Experience design|Packaging design|Research|UX design,Less than 40 hours
37,15 - 20 years,"$75,000 to $99,999",I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I respect the people I work with|I'm solving worthwhile problems|I have a manageable workload,Art direction|Leadership|UI design|UX design,"Happy, but there's room for improvement",Communication / Graphic design|Experience design|Interaction design|UI design|UX design,40 hours
28,10 - 14 years,"$75,000 to $99,999",I have the opportunity to learn new skills|There's room to grow in my role|I respect the people I work with|There's flexibility over where and when I work|I have a manageable workload,Art direction|Drawing / Painting|Photography,"Happy, but there's room for improvement",Communication / Graphic design,Less than 40 hours
35,15 - 20 years,"$75,000 to $99,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied|I respect the people I work with|There's flexibility over where and when I work|I'm in the position to scale my business|I have no problem acquiring new client work,Art direction|Coding|Public speaking|SEO / Social Media|Writing (published articles),"Happy, but there's room for improvement",Communication / Graphic design|Education|Interaction design|Research,Less than 40 hours
29,5 - 9 years,"$100,000 to $149,999",My role is valued,Leadership|Mentoring|Public speaking|UI design|UX design,"Not really satisfied, but I deal",Communication / Graphic design|Experience design|Interaction design|Strategy|UX design,40 hours
44,20+ years,"$100,000 to $149,999",I have a lot of autonomy and  freedom to make decisions|My role is valued|I feel creatively satisfied|The standard of work is pretty high|I'm solving worthwhile problems,Leadership|Mentoring|Public speaking|Research|UX design,"Happy, but there's room for improvement",Experience design|Interaction design|Research|Strategy|UX design,41 - 50 hours
54,15 - 20 years,"$25,000 to $34,999",I have a lot of autonomy and  freedom to make decisions|I respect the people I work with|There's flexibility over where and when I work,Art direction|Business operations|Leadership|Project management|UX design,"Not really satisfied, but I deal",Communication / Graphic design|Interaction design,51 - 60 hours
23,1 - 4 years,"Less than $25,000",I have the opportunity to learn new skills|I respect the people I work with|There's flexibility over where and when I work|I have a manageable workload,"3D / Animation software (Rhino, After Effects, Unity, etc.)|Coding|Drawing / Painting","Happy, but there's room for improvement",Communication / Graphic design|Illustration|Social impact design,Less than 40 hours
29,5 - 9 years,"$35,000 to $49,999",I'm solving worthwhile problems|There's flexibility over where and when I work,Art direction|Data visualization|Photography,"Not really satisfied, but I deal",Communication / Graphic design|Environmental design,40 hours
25,1 - 4 years,"$50,000 to $74,999",The standard of work is pretty high|I respect the people I work with|Benefits are sufficient (and maybe some perks on the side),Art direction|Coding|Photography|UI design|UX design,"Happy, but there's room for improvement",Communication / Graphic design|Interaction design|UI design|UX design,40 hours
35,10 - 14 years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|I respect the people I work with|There's flexibility over where and when I work,Art direction|Photography|Project management|UI design|UX design,Ready to call it quits,Communication / Graphic design|Game design|Packaging design,41 - 50 hours
24,1 - 4 years,"$35,000 to $49,999",Benefits are sufficient (and maybe some perks on the side)|I have no problem acquiring new client work,Art direction|Project management|SEO / Social Media|UI design|UX design,Ready to call it quits,Communication / Graphic design|Packaging design,41 - 50 hours
33,10 - 14 years,"$100,000 to $149,999",I have a lot of autonomy and  freedom to make decisions|There's room to grow in my role|There's flexibility over where and when I work,Art direction|Copywriting|Leadership|Photography|Project management,"Not really satisfied, but I deal",Communication / Graphic design|Packaging design|Strategy,51 - 60 hours
26,5 - 9 years,"$75,000 to $99,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|The standard of work is pretty high|I respect the people I work with|There's flexibility over where and when I work|Benefits are sufficient (and maybe some perks on the side),Art direction|Coding|UI design|UX design,Ready to call it quits,Communication / Graphic design|Illustration|Strategy|UI design|UX design,41 - 50 hours
35,5 - 9 years,"$35,000 to $49,999",I have the opportunity to learn new skills|Benefits are sufficient (and maybe some perks on the side),Drawing / Painting,"Happy, but there's room for improvement",Communication / Graphic design|Illustration,Less than 40 hours
30,1 - 4 years,"$35,000 to $49,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|I feel creatively satisfied|I respect the people I work with,Business development|Facilitation|Mentoring|Project management|SEO / Social Media,"Not really satisfied, but I deal",Communication / Graphic design|Data science|Packaging design|Strategy,41 - 50 hours
31,5 - 9 years,"Less than $25,000",I have the opportunity to learn new skills|My role is valued|I feel creatively satisfied|I have no problem acquiring new client work,Art direction,"Happy, but there's room for improvement",Communication / Graphic design,61 + hours
28,5 - 9 years,"$150,000 to $199,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side),AI / Algorithm design|Leadership|Public speaking|UX design|Writing (published articles),Extremely satisfied with my work situation,AI / Algorithm design|Data science|Experience design|Interaction design|UX design,51 - 60 hours
59,20+ years,"$75,000 to $99,999",I have a lot of autonomy and  freedom to make decisions|My role is valued|The standard of work is pretty high|There's flexibility over where and when I work,Art direction|Drawing / Painting|Facilitation|Leadership|Mentoring,Ready to call it quits,Experience design,40 hours
32,1 - 4 years,"Less than $25,000",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|I respect the people I work with|There's flexibility over where and when I work,Art direction|Research|UI design,Not sure,Communication / Graphic design|Packaging design|Social impact design,Less than 40 hours
29,5 - 9 years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|The standard of work is pretty high|I respect the people I work with|There's flexibility over where and when I work|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side),Art direction|Coding|Project management,"Happy, but there's room for improvement",Communication / Graphic design,41 - 50 hours
37,15 - 20 years,"$75,000 to $99,999",I have the opportunity to learn new skills|I feel creatively satisfied|I respect the people I work with|I'm solving worthwhile problems,Art direction|Leadership|Mentoring|UX design,"Not really satisfied, but I deal",Communication / Graphic design|Experience design|Strategy|UI design|UX design,41 - 50 hours
30,10 - 14 years,"$50,000 to $74,999",I have the opportunity to learn new skills|The standard of work is pretty high|There's flexibility over where and when I work,Art direction|Copywriting|Drawing / Painting|Research|UX design,"Not really satisfied, but I deal",Communication / Graphic design|Illustration|Packaging design,41 - 50 hours
26,1 - 4 years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work|Benefits are sufficient (and maybe some perks on the side),Art direction|Data visualization|Leadership|Project management|UX design,"Happy, but there's room for improvement",Communication / Graphic design|Education|Strategy|UX design,41 - 50 hours
37,1 - 4 years,"$35,000 to $49,999",The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|Benefits are sufficient (and maybe some perks on the side),Art direction|Data visualization|Drawing / Painting,"Not really satisfied, but I deal",Communication / Graphic design|Illustration,41 - 50 hours
45,20+ years,"$100,000 to $149,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|I'm paid what I'm worth,Art direction|Leadership|Mentoring|UI design|UX design,"Not really satisfied, but I deal",Communication / Graphic design|Experience design|Interaction design|UI design|UX design,Less than 40 hours
27,1 - 4 years,"$35,000 to $49,999",I have a lot of autonomy and  freedom to make decisions|I respect the people I work with|There's flexibility over where and when I work,"3D / Animation software (Rhino, After Effects, Unity, etc.)|Drawing / Painting",Ready to call it quits,Animation|Communication / Graphic design|Illustration|Motion graphics|UI design,40 hours
27,5 - 9 years,"$75,000 to $99,999",My role is valued,Art direction|Photography,"Not really satisfied, but I deal",Service design,61 + hours
49,20+ years,"$75,000 to $99,999",I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied|I'm solving worthwhile problems|There's flexibility over where and when I work|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side),Art direction|Copywriting|Data analysis|Data visualization|Project management,"Happy, but there's room for improvement",Communication / Graphic design|Education|Illustration|Interaction design,41 - 50 hours
36,10 - 14 years,"$100,000 to $149,999",I have a lot of autonomy and  freedom to make decisions|I respect the people I work with|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side),Art direction|Data visualization|Leadership|Photography|Project management,"Happy, but there's room for improvement",Communication / Graphic design|Social impact design,41 - 50 hours
39,10 - 14 years,"$75,000 to $99,999",I have the opportunity to learn new skills|My role is valued|The standard of work is pretty high|I respect the people I work with|There's flexibility over where and when I work|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,Art direction|Coding|Project management|UI design|UX design,"Happy, but there's room for improvement",Communication / Graphic design|UI design|UX design,40 hours
56,20+ years,"$75,000 to $99,999",Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,Art direction|Leadership,"Not really satisfied, but I deal",Communication / Graphic design,40 hours
23,1 - 4 years,"$35,000 to $49,999",I have the opportunity to learn new skills|My role is valued|I respect the people I work with|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side),Coding|Data visualization|Film / Video|Photography|Research,Extremely satisfied with my work situation,Communication / Graphic design|Environmental design|Motion graphics,40 hours
52,20+ years,"$75,000 to $99,999",My role is valued|I respect the people I work with,Art direction|Drawing / Painting|Facilitation|Leadership|Project management,"Happy, but there's room for improvement",Communication / Graphic design|Education|Illustration|Packaging design|Service design,51 - 60 hours
29,5 - 9 years,"$25,000 to $34,999",I have the opportunity to learn new skills|My role is valued|I respect the people I work with|I'm solving worthwhile problems,Drawing / Painting|Project management|SEO / Social Media,"Happy, but there's room for improvement",Communication / Graphic design|Environmental design|Social impact design,Less than 40 hours
23,1 - 4 years,"$35,000 to $49,999",I have the opportunity to learn new skills,Art direction|Drawing / Painting|Film / Video|Photography|UX design,"Happy, but there's room for improvement",Communication / Graphic design|Motion graphics|Packaging design|Strategy|UX design,40 hours
70,20+ years,"$100,000 to $149,999",The standard of work is pretty high|There's flexibility over where and when I work|Benefits are sufficient (and maybe some perks on the side),Art direction|Business development|Mentoring|Project management|Research,Not sure,Communication / Graphic design|Education|Packaging design,51 - 60 hours
22,1 - 4 years,"Less than $25,000",My role is valued|The standard of work is pretty high|I respect the people I work with|There's flexibility over where and when I work|I have a manageable workload,"3D / Animation software (Rhino, After Effects, Unity, etc.)|Art direction|Copywriting|Public speaking","Not really satisfied, but I deal",Communication / Graphic design|Motion graphics|Packaging design,Less than 40 hours
27,5 - 9 years,"$75,000 to $99,999",My role is valued|I respect the people I work with|Benefits are sufficient (and maybe some perks on the side),Art direction|Data visualization|Drawing / Painting|UI design|UX design,"Not really satisfied, but I deal",Communication / Graphic design|Interaction design|Strategy|UI design|UX design,41 - 50 hours
33,5 - 9 years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I respect the people I work with|Benefits are sufficient (and maybe some perks on the side),"3D / Animation software (Rhino, After Effects, Unity, etc.)|Art direction|Coding|Drawing / Painting","Happy, but there's room for improvement",AI / Algorithm design|Animation|Communication / Graphic design|Motion graphics|Packaging design,40 hours
23,Less than 1 year,"$25,000 to $34,999",I have the opportunity to learn new skills|My role is valued|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with,Art direction|Drawing / Painting,"Happy, but there's room for improvement",Game design|Illustration|Packaging design,40 hours
50,20+ years,"$35,000 to $49,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with|There's flexibility over where and when I work,Art direction|Leadership|Mentoring|Public speaking|UX design,"Happy, but there's room for improvement",Communication / Graphic design,Less than 40 hours
32,5 - 9 years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|There's flexibility over where and when I work,Art direction|Facilitation|Public speaking|Research,"Happy, but there's room for improvement",Communication / Graphic design|Environmental design|Experience design|Packaging design|Strategy,41 - 50 hours
23,1 - 4 years,"Less than $25,000",I have the opportunity to learn new skills|My role is valued|The standard of work is pretty high|I respect the people I work with,Art direction|Drawing / Painting|Photography,"Happy, but there's room for improvement",Communication / Graphic design|Environmental design|Illustration,Less than 40 hours
32,5 - 9 years,"$25,000 to $34,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work|I'm in the position to scale my business|I have no problem acquiring new client work,"3D / Animation software (Rhino, After Effects, Unity, etc.)|Art direction|Drawing / Painting|Mentoring|Public speaking","Happy, but there's room for improvement",Communication / Graphic design|Education|Illustration|Interaction design,41 - 50 hours
32,1 - 4 years,"$100,000 to $149,999",I have the opportunity to learn new skills|My role is valued|I respect the people I work with|I'm solving worthwhile problems,Coding|Data visualization|Research|UI design|UX design,"Not really satisfied, but I deal",UI design|UX design,40 hours
46,5 - 9 years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work|Benefits are sufficient (and maybe some perks on the side),Facilitation|Project management|Research|UI design|UX design,"Happy, but there's room for improvement",Education|Research|Strategy|UI design|UX design,40 hours
36,10 - 14 years,"$100,000 to $149,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|The standard of work is pretty high|I respect the people I work with|There's flexibility over where and when I work|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side),Art direction|Business operations|Leadership|UI design|UX design,"Happy, but there's room for improvement",Interaction design|Research|Strategy|UI design|UX design,41 - 50 hours
57,15 - 20 years,"$100,000 to $149,999",I feel creatively satisfied|There's flexibility over where and when I work,Facilitation|Mentoring|Research|UX design|Writing (published articles),Not sure,Education|Research|Service design,40 hours
23,1 - 4 years,"$35,000 to $49,999",My role is valued|The standard of work is pretty high|I respect the people I work with|I have a manageable workload,Art direction|SEO / Social Media|UI design,"Happy, but there's room for improvement",Communication / Graphic design,40 hours
38,15 - 20 years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|My role is valued|I feel creatively satisfied|I'm solving worthwhile problems|There's flexibility over where and when I work|Benefits are sufficient (and maybe some perks on the side),Art direction|Coding|Film / Video|Project management|UI design,"Happy, but there's room for improvement",Communication / Graphic design|Education|Experience design|Strategy|UI design,Less than 40 hours
43,15 - 20 years,"$75,000 to $99,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|My role is valued|The standard of work is pretty high|I respect the people I work with,Art direction|Drawing / Painting|Film / Video|Photography,"Happy, but there's room for improvement",Communication / Graphic design,40 hours
31,10 - 14 years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|My role is valued|The standard of work is pretty high|I respect the people I work with|There's flexibility over where and when I work|Benefits are sufficient (and maybe some perks on the side),Art direction|Drawing / Painting|Leadership|Project management|Research,"Happy, but there's room for improvement",Communication / Graphic design|Illustration|Research,41 - 50 hours
33,10 - 14 years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|I respect the people I work with,Art direction|Drawing / Painting|Project management|SEO / Social Media,"Happy, but there's room for improvement",Communication / Graphic design|Experience design|Service design,40 hours
33,10 - 14 years,"$200,000+",I have a lot of autonomy and  freedom to make decisions|There's room to grow in my role|I'm paid what I'm worth|I'm in the position to scale my business,Art direction|Business operations|Project management|UI design|Writing (published articles),"Happy, but there's room for improvement",Communication / Graphic design|Education|Interaction design|UI design,41 - 50 hours
31,5 - 9 years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|The standard of work is pretty high|I respect the people I work with|There's flexibility over where and when I work|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,Art direction|Data visualization|Drawing / Painting|Project management|Research,"Happy, but there's room for improvement",Communication / Graphic design|Illustration|Packaging design,41 - 50 hours
28,5 - 9 years,"$50,000 to $74,999",I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|Benefits are sufficient (and maybe some perks on the side)|I have no problem acquiring new client work,Art direction|Project management|UX design,"Happy, but there's room for improvement",Communication / Graphic design|Education|Illustration|Service design,41 - 50 hours
42,15 - 20 years,"$35,000 to $49,999",I have a lot of autonomy and  freedom to make decisions|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work,Art direction|Copywriting|Film / Video|Leadership|UX design,"Happy, but there's room for improvement",Communication / Graphic design|Social impact design,Less than 40 hours
31,5 - 9 years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|I feel creatively satisfied|There's flexibility over where and when I work|Benefits are sufficient (and maybe some perks on the side),Art direction|Data visualization|Film / Video|UI design|UX design,"Happy, but there's room for improvement",Communication / Graphic design|Illustration|UI design|UX design,41 - 50 hours
25,1 - 4 years,"$50,000 to $74,999",I respect the people I work with|I'm solving worthwhile problems,Art direction|Leadership|Photography|Project management|Public speaking,Ready to call it quits,Communication / Graphic design|Environmental design|Research|Social impact design|Strategy,41 - 50 hours
40,5 - 9 years,"$100,000 to $149,999",I have the opportunity to learn new skills|I'm solving worthwhile problems|There's flexibility over where and when I work,Business development|Facilitation|Mentoring|Project management|Research,"Happy, but there's room for improvement",Communication / Graphic design|Education|Packaging design|Service design|Strategy,40 hours
44,20+ years,"$100,000 to $149,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work,"3D / Animation software (Rhino, After Effects, Unity, etc.)|Art direction|Leadership|Public speaking|Writing (published articles)",Extremely satisfied with my work situation,Communication / Graphic design|Education|Interaction design|UI design|UX design,Less than 40 hours
30,10 - 14 years,"$100,000 to $149,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work,Art direction|Business operations|Leadership|Mentoring|Project management,"Happy, but there's room for improvement",Communication / Graphic design|Interaction design|Packaging design|Strategy|UX design,51 - 60 hours
30,5 - 9 years,"$50,000 to $74,999",The standard of work is pretty high|Benefits are sufficient (and maybe some perks on the side),Art direction|Drawing / Painting|Leadership,"Happy, but there's room for improvement",Communication / Graphic design|Environmental design|Illustration|UI design,41 - 50 hours
22,1 - 4 years,"$35,000 to $49,999",My role is valued|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,Drawing / Painting|Facilitation|Project management|Research,"Not really satisfied, but I deal",Communication / Graphic design|Illustration|Service design|Social impact design,40 hours
